Row #,Name,Street,City,State,Zip,Phone,Website,Latitude,Longitude,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Last Update,Menu,Item1,Item2,Item3,Item4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tikis Grill & Bar,2570 Kalakaua Ave,Honolulu,HI,96815,(808) 923-8454,https://www.tikisgrill.com/,21.27245858,-157.8225717,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,7/17/2022,https://www.tikisgrill.com/menus,$11 Mai Tai,$5.50 Coors Light Draft,$7 Longboard Draft,$6 Furikake Fries,$6 Quesadilla,$6 Coconut Shrimp,$6 Arancini,$6 Brussel Sprouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Deck,150 Kapahulu Ave,Honolulu,HI,96815,(808) 556-2435,https://deckwaikiki.com/,21.272028,-157.821182,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,2:00 PM,4:00 PM,,,,,7/17/2022,https://deckwaikiki.com/pauhana/,$7 Draft Beer,$6 Can Beer,$12 Mai Tai,$12 Liliko'i Margarita,$6 French Fries,$8 Truffle Fries,$11 Chicken Wings,$14 Calamari Fritti,$12 Chips & Guacamole,$11 Beef Sliders,$22 Pupu Style Grilled Angus Ribeye,$14 Catfish Basket,$10 Salmon Katsu Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Moku Kitchen,660 Ala Moana Blvd,Honolulu,HI,96813,(808) 591-6658,https://www.mokukitchen.com/home,21.298204,-157.861725,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,7/17/2022,https://www.mokukitchen.com/menu,$2 Off All Moku Libations,$2 Off All Wines by the Glass,$2 Off All Draft Beer,50% Off All Small Plates,$10 Pizzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Waikiki Brewing Company - Waikiki,1945 Kalakaua Ave,Honolulu,HI,96815,(808) 946-6590,https://waikikibrewing.com/waikiki/,21.28591267,-157.8335707,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,7/28/2022,https://waikikibrewing.com/pdf-menus/,$5.50 Core 9 Drafts,$5 Wells,$2 Off Wines,$12 Growler Fills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Waikiki Brewing Company - Waikiki,1945 Kalakaua Ave,Honolulu,HI,96815,(808) 946-6590,https://waikikibrewing.com/waikiki/,21.28591267,-157.8335707,9:00 PM,11:00 PM,9:00 PM,11:00 PM,9:00 PM,11:00 PM,9:00 PM,11:00 PM,9:00 PM,11:59 PM,9:00 PM,11:59 PM,9:00 PM,11:00 PM,7/28/2022,https://waikikibrewing.com/pdf-menus/,$5.50 Core 9 Drafts,$5 Wells,$2 Off Wines,$12 Growler Fills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Le'ahi Bar & Grill,2446 Koa Ave,Honolulu,HI,96815,(808) 762-9025,No Website Available,21.275787,-157.824127,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,1/7/2022,https://www.yelp.com/biz_photos/leahi-bar-and-grill-honolulu?select=gQCpuVSGDrvqlYEkgOz1sw,$8 Pinacolada,$8 Le'ahi Mai Tai,$6 Le'ahi Seltzer,$6 Lilikoi Margarita,$8 Le'ahi Mule,$8 Hawaiian Iced Tea,$8 Waikiki On The Beach,$8 Oahu Sunset,$8 Manoa Waterfall,$8 Ala Wai Water,$5-6 Beer,$6-13 Wine By The Glass,$10 Red/White Sangria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,O Bar,2490 Kalakaua Ave,Honolulu,HI,96815,(808) 922-1233,https://www.alohilaniresort.com/dining/o-bar/,21.274513,-157.823624,,,,,,,4:00 PM,6:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,4:00 PM,6:00 PM,7/3/2022,https://www.alohilaniresort.com/dining/o-bar/o-bar-menu/,$10 Featured Wine,$1.50 Oysters (each),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sansei Seafood Restaurant & Sushi Bar,2552 Kalakaua Ave 3rd Fl,Honolulu,HI,96815,(808) 931-6286,https://dkrestaurants.com/index.php/restaurants/sansei_waikiki,21.273132,-157.822662,5:30 PM,6:00 PM,,,,,,,,,,,5:30 PM,6:00 PM,2/13/2022,https://dkrestaurants.com/Waikiki%20Sansei%20Dine%20In%20Menu%20as%20of%2010.22.21-letter.pdf,$5-6 Beer,$7 Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Chez Kenzo Bar & Grill,1451 S King St,Honolulu,HI,96814,(808) 941-2439,http://www.chezkenzo.net/menu.html,21.29765328,-157.8392341,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,4/18/2022,http://www.chezkenzo.net/images/chez-kenzo-menu.pdf,$5 Wines By The Glass,$4 Sake Cocktails,$6 House Sake,$6 Toki Highball,$5 Sake-tini,$2 Sake Shot,$4 Homemade Sangria,$2.99 Draft Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Odori-ko,1680 Kapiolani Blvd,Honolulu,HI,96814,(808) 955-6555,https://odori-ko.com/menu/,21.29172423,-157.8384656,4:30 PM,6:00 PM,4:30 PM,6:00 PM,4:30 PM,6:00 PM,4:30 PM,6:00 PM,4:30 PM,6:00 PM,4:30 PM,6:00 PM,4:30 PM,6:00 PM,3/7/2022,https://odori-ko.com/wp-content/uploads/2022/03/HH-Menu-2022-MAR-7.pdf,$4.50 Kirin Draft,$5.50 Shochikubai - 6 oz (hot or cold),"$5.50 CK Mondavi (Chardonnay, Cabernet)",$4 Oyster Shot,$10.75 Tofu Salad,$11 Salmon Sashimi,$8 California Roll,$8 Tempura Roll,$8 Salmon Skin Roll,$8 Spicy Tuna Roll,$12 Tuna Tartare,$11.25 Spicy Salmon Don,$14 Hamachi Carpaccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,The Hall by Beer Lab HI,98-1005 Moanalua Rd Ste 884,Aiea,HI,96701,(808) 762-0027,https://www.beerlabhi.com/pearlridge,21.38506908,-157.9411056,3:00 PM,5:30 PM,3:00 PM,5:30 PM,3:00 PM,5:30 PM,3:00 PM,5:30 PM,,,,,,,7/18/2022,https://www.beerlabhi.com/_files/ugd/dd8370_8aab077c48524ecabd89107794cb151a.pdf,$2 Off Full Pour Beers,$1 Off Wine,$14 Tater Tot Nachos,$7 Kimchee Fried Rice,$8 Onion Rings,$9 Furikake Fries,$9 Garlic Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bevy,675 Auahi Street,Honolulu,HI,96813,(808) 594-7445,https://bevyhawaii.com/,21.29904019,-157.8613245,,,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,5:00 PM,7:00 PM,,,7/28/2022,https://bevyhawaii.com/happy-hour/,$4-5 Beer,$8 Wine,$10 Cocktails,$1 Off Kusshi or Goose Point Oyster (1pc),$6 Edamame with Hawaiian Salt and Sesame Oil (Spicy Optional +1),$9 Crispy Brussels,$6 Grilled Street Corn,$7 Chips and Salsa,$9 Chips and Guacamole,$13 Empanadas (3 ea),$15 Achiote Garlic Shrimp,$14 Happy Hour Tacos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tommy Bahama Restaurant - Waikiki,298 Beachwalk Dr,Honolulu,HI,96815,(808) 923-8785,https://www.tommybahama.com/restaurants/waikiki,21.28132869,-157.8307858,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,7/28/2022,https://www.tommybahama.com/content/dam/tommy/restaurants/waikiki/happyhour.pdf,$8-10 Wine,$11 Cocktails,$12 Martinis,$12 Blackened Mahi Mahi Tacos,$12 Coconut Shrimp,$12 Cheeseburger Sliders,$12 Brussels,$12 Macadamia Crusted Goat Cheese,$12 Duo of Dips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Appetito Craft Pizza & Wine Bar,150 Kaiulani Ave,Honolulu,HI,96815,(808) 922-1150,https://appetitowaikiki.com/,21.27802759,-157.8247138,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,7/28/2022,https://appetitowaikiki.com/wp-content/uploads/Happy-Hour-Legal.pdf,$6 Draft Beer,$7 Wine / $30 Bottle,$9 Cocktails,$7 French Fries,$8 Grilled Shishito Peppers,$12 Portobello Fries,$12 Spicy Meatball,$8 Tuscan Hummus,$12 Gnocchi Alla Gorgonzola,$15 Margherita Pizza,$16 Italian Salami Pizza,$17 Boquerones Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Zigu,"413 Seaside Ave, 1F",Honolulu,HI,96815,(808) 212-9252,https://www.zigu.us/,21.28072482,-157.8266365,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,7/28/2022,https://www.zigu.us/drink,$4.50-5 Beer,$4.50-5 Wine,$5 Cocktails,$7 Yaegaki Junmai 180ml,$12 Sake Flight ,$4 Edamame,$6 Homemade Local Fish Cake,$8 Red Skin Sweet Potato Salad,$7 French Fries,$9 Sumida Farm Watercress & Aloha Tofu Salad,$10 Mochiko Fried Chicken,$13 Assorted Tempura,$18 Sauteed Big Island Ginger Pork,$14 Today's Mix Poke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Paia Fish Market Waikiki,2299 Kuhio Ave,Honolulu,HI,96815,(808) 200-0200,https://paiafishmarket.com/,21.27951923,-157.8263926,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,12/29/2021,https://paiafishmarket.com/menu/,$6 Margarita,$6 Lilikoi Margarita,$6 Moscow Mule,$6 Mai Tai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Herringbone Waikiki,2330 Kalakaua Ave,Honolulu,HI,96815,(808) 797-2435,https://taogroup.com/venues/herringbone-waikiki/,21.27915322,-157.8267778,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,5/11/2022,https://aokieats.com/wp-content/uploads/sites/3/2022/05/HBHI-Oyster-Hour-5.11.22.pdf,$6 Beer,$7 Wine,$8 Cocktails,$3 Three Buck Shuck (3~/each),$6 Fish Taco,$8 Brussels & Macadamia Nuts,$13 Buffalo Octopus,$13 Furikake Tater Puffs,$15 Hamachi Crudo,$15 Pulehu Steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,La Pina Cantina,2330 Kalakaua Ave,Honolulu,HI,96815,(808) 470-3463,https://www.kuhioavenuefoodhall.com/location/la-pina/#happy-hour,21.27925858,-157.825934,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,7/28/2022,https://www.kuhioavenuefoodhall.com/location/la-pina/#happy-hour,$4 Beers,$12 Kirin Pitcher,$15 Bud Light Pitcher,$5 Off All Other Pitchers,$1 Off 12 Oz cup,$8-10 Signature Cocktails,$5-7 Frozen Cocktails,$5 Shots,$10-13 Tacos,$14-16 Nachos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,et al.,4210 Waialae Ave Ste 401,Honolulu,HI,96816,(808) 732-2144,https://etalhawaii.com/,21.27934925,-157.7869878,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,2:00 PM,5:00 PM,5/1/2022,https://static1.squarespace.com/static/5f565d44150736732582118e/t/628661c4fb8c533c7e2a1334/1652974020963/et+al.+pau+hana+menu.pdf,$10 Specialty Cocktails,$8 Fries,$15 Arancini,MP - Tartare,$11 Oysters,MP - Crudo,$12 Marrow,$10 Chicken,$14 Pizza,$18 Burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Eating House 1849 - Waikiki,2330 Kalakaua Ave Space 322,Honolulu,HI,96815,(808) 924-1849,https://www.royyamaguchi.com/eatinghouse1849-waikiki,21.27861313,-157.8262183,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,7/28/2022,https://www.royyamaguchi.com/eatinghouse1849-waikiki#menu-eating-house-1849-waikiki,$6 Local & Import Draft Beer,$8 Wines By The Glass,$10 Hawaiian Pineapple Martini,$10 Grand Breeze,$7 Poutine Fries,$7 Crispy Brussel Sprouts (Half Order),$7 Mongolian BBQ Baby Back Ribs (3pc),$7 Crispy Spicy Ahi Maki (3pc),$7 Chicken Spring Rolls (2pc / Cut In Half),$7 Kalbi Style Chicken Skewers (3pc),$22 1849 Burger & Aloha Beer Co. Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1938 Indochine,602 Ala Moana Blvd,Honolulu,HI,96813,(808) 545-7777,https://1938indochine.com/,21.29861427,-157.8621755,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,,,,,5/26/2022,https://1938indochine.com/wp-content/uploads/sites/7/2022/05/1938-Food-MENU-5.26.22.pdf,$6 Beer,$8 Wine,$9 Cocktails,$20 Aoki Bourbon Flight,$20 1942 Don Julio,$8 Glass Noodle Shrimp,$8 Le Citronelle Fried Chicken,$8 Chicken Laap,$8 Spicy Lemongrass Fries,$11 Colonial Crab Cake,$11 Nha Trang Ceviche,$11 Grilled Ocean Scallops,$11 Banh Mi Sliders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rigo,885 Kapahulu Ave,Honolulu,HI,96816,(808) 735-9760,https://rigohawaii.com/,21.28384238,-157.8135851,11:30 AM,3:00 PM,11:30 AM,3:00 PM,11:30 AM,3:00 PM,11:30 AM,3:00 PM,11:30 AM,3:00 PM,11:30 AM,3:00 PM,11:30 AM,3:00 PM,3/24/2022,https://rigohawaii.com/wp-content/uploads/2021/03/rigo_happyhour.pdf,$2 Off On All Beer & Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Agave & Vine,1450 Ala Moana Blvd,Honolulu,HI,96814,(808) 462-3620,No Website Available,21.29077849,-157.8418751,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,11/16/2021,,$3 Beer,$3 Well Drinks,$4 House Red & White Wine,$5 Mai Tais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Agave & Vine,1450 Ala Moana Blvd,Honolulu,HI,96814,(808) 462-3620,No Website Available,21.29077849,-157.8418751,,,,,,,,,9:00 PM,11:59 PM,9:00 PM,11:59 PM,,,11/16/2021,,$2 Off All Draft Beers,$3 Tequila Poppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Redfish Poke Bar,685 Auahi St,Honolulu,HI,96813,(808) 532-6420,https://www.redfishpoke.com/,21.29827893,-157.8609552,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,2:00 PM,6:00 PM,7/29/2022,https://static1.squarespace.com/static/5cfa1d34745eb00001f70cc3/t/6259bc7d9d1dde27e6956c42/1650048127166/Redfish+Happy+Hour+Menu.pdf,$11 Craft Cokctails,$8 Wine By The Glass,$6.50 Draft Beer,$2.50 Oysters On The Half Shell (ea),$8 Chicken Karaage,$8 Spicy Smoked Ahi Dip,$8 Kauai Style Truffle Fries,$8 XO Tofu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SWIM Restaurant and Bar,2424 Kalakaua Ave,Honolulu,HI,96815,(808) 923-1234,https://www.hyatt.com/en-US/hotel/hawaii/hyatt-regency-waikiki-beach-resort-and-spa/hnlrw/dining,21.27635038,-157.8254698,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,6/10/2022,https://qrstuff.s3.eu-west-1.amazonaws.com/file/20220610/111238/90307478ea493b13/SWIM%20Menu%208x14-June.pdf?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIE5CBLNMAXNAMVJA%2F20220730%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20220730T023723Z&X-Amz-SignedHeaders=host&X-Amz-Expires=1200&X-Amz-Signature=2ba5ac521d39a762cada5f94ff9cd82d88d407d4cb81401e323036af242a16c3,$1 Off Selected Wines By The Glass,$2 Off Draft Beer & Tropical Temptations,"$5 Off Loco Moco, Off The Wall Burger, Hurricane Tots",$12 Bartender's Cocktail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mahina & Sun's,412 Lewers St,Honolulu,HI,96815,(808) 924-5810,https://mahinaandsuns.com/,21.28187708,-157.828171,12:00 PM,5:30 PM,12:00 PM,5:30 PM,12:00 PM,5:30 PM,12:00 PM,5:30 PM,12:00 PM,5:30 PM,12:00 PM,5:30 PM,12:00 PM,5:30 PM,7/29/2022,https://uqrmecdn.s3.us-east-2.amazonaws.com/u/229573/609197-927597f7bc897b6194b275b5873e567d1c0d04.pdf,$5 Maui Hard Seltzer,$5 Maui Can Beer,$25 Bucket Of Maui Cans,$8 Well Liquors,"$8 House Wine (Red, White, Rose, Sparkling)",$8 Cocktails ($14 To Double Up),$12 Chicken Wings,$14 Kalua Pork Tacos,$14 Beef Burger,$14 Taro Burger,$12 Fried Fish Burger,$10 Hot Dog & Fries,$14 Fish & Chips,$13 Cheese Pizza,$15 Pepperoni Pizza,$15 Lanai Veggie Pizza,$10 Lanai Sassy Greens Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,BREW'd Craft Pub,3441 Waialae Ave,Honolulu,HI,96816,(808) 732-2337,https://www.brewdcraftpub.com/home,21.28423604,-157.8022493,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,,,,,4/18/2022,,$1 Off Full Size Draft,$10 BREW'd Craft Cocktail,$5 Call Liquors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Maui Brewing Co. Waikiki,2300 Kalakaua Ave,Honolulu,HI,96815,(808) 843-2739,http://www.mbcrestaurants.com/waikiki/,21.27784808,-157.8272704,3:30 PM,4:30 PM,3:30 PM,4:30 PM,3:30 PM,4:30 PM,3:30 PM,4:30 PM,3:30 PM,4:30 PM,,,,,7/29/2022,https://www.mbcrestaurants.com/wp-content/uploads/2022/06/06.16-FINAL-MBCW-Food-Drink-Menu.pdf,$2 Off All Beers,$3 Off Culinary & Classic Cocktails,50% Off Select Apps,$10 Pizzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
